To_Location,From_Location,Product,Lead_Time_Days,Lead_Time_Std_Dev,,
DEH1,DEW1,NATURO3,8.5,3.34,,
DEF1,LUEX,NATURO3,8.4,5.14,,
DEF2,LUEX,NATURO3,5.8,2.38,,
FRA1,LUEX,NATURO3,15.5,10.6,,
FRM1,LUEX,NATURO3,9.7,5.86,,
GBE1,LUEX,NATURO3,10,1.41,,
GBM1,LUEX,NATURO3,10,1.41,,
LUGI,LUEX,NATURO3,0.8,1.47,,
LUL1,LUEX,NATURO3,0.8,1.47,,
BEEX,B616,NATURO4,137,32.4,,
PLPL,B616,NATURO4,3,1,,
RSKR,B616,NATURO4,157,28.48,,
SIS1,B616,NATURO4,157,26.15,,
TRTU,B616,NATURO4,160,26.33,,
TRTZ,B616,NATURO4,160,22.4,,
ZASA,B616,NATURO4,116,8,,
DEW1,BEEX,NATURO4,4.7,2.56,,
LUEX,BEEX,NATURO4,4.2,1.5,,
DEH1,DEW1,NATURO4,8.5,3.34,,
DEF1,LUEX,NATURO4,8.4,5.14,,
DEF2,LUEX,NATURO4,5.8,2.38,,
FRA1,LUEX,NATURO4,15.5,10.6,,
FRM1,LUEX,NATURO4,9.7,5.86,,
GBE1,LUEX,NATURO4,10,1.41,,
GBM1,LUEX,NATURO4,10,1.41,,
LUGI,LUEX,NATURO4,0.8,1.47,,
LUL1,LUEX,NATURO4,0.8,1.47,,
BEEX,B616,NEUDRO,137,32.4,,
PLPL,B616,NEUDRO,3,1,,
RSKR,B616,NEUDRO,157,28.48,,
SIS1,B616,NEUDRO,157,26.15,,
TRTU,B616,NEUDRO,160,26.33,,
TRTZ,B616,NEUDRO,160,22.4,,
ZASA,B616,NEUDRO,116,8,,
DEW1,BEEX,NEUDRO,4.7,2.56,,
LUEX,BEEX,NEUDRO,4.2,1.5,,
DEH1,DEW1,NEUDRO,8.5,3.34,,
DEF1,LUEX,NEUDRO,8.4,5.14,,
DEF2,LUEX,NEUDRO,5.8,2.38,,
FRA1,LUEX,NEUDRO,15.5,10.6,,
FRM1,LUEX,NEUDRO,9.7,5.86,,
GBE1,LUEX,NEUDRO,10,1.41,,
GBM1,LUEX,NEUDRO,10,1.41,,
LUGI,LUEX,NEUDRO,0.8,1.47,,
LUL1,LUEX,NEUDRO,0.8,1.47,,
BEEX,B616,NEUDRO1,137,32.4,,
DEF2,B616,NEUDRO1,137,30,,
PLPL,B616,NEUDRO1,3,1,,
RSKR,B616,NEUDRO1,157,28.48,,
SIS1,B616,NEUDRO1,157,26.15,,
TRTU,B616,NEUDRO1,160,26.33,,
TRTZ,B616,NEUDRO1,160,22.4,,
ZASA,B616,NEUDRO1,116,8,,
DEW1,BEEX,NEUDRO1,4.7,2.56,,
LUEX,BEEX,NEUDRO1,4.2,1.5,,
DEH1,DEW1,NEUDRO1,8.5,3.34,,
DEF1,LUEX,NEUDRO1,8.4,5.14,,
FRA1,LUEX,NEUDRO1,15.5,10.6,,
FRM1,LUEX,NEUDRO1,9.7,5.86,,
GBE1,LUEX,NEUDRO1,10,1.41,,
GBM1,LUEX,NEUDRO1,10,1.41,,
LUGI,LUEX,NEUDRO1,0.8,1.47,,
LUL1,LUEX,NEUDRO1,0.8,1.47,,
BEEX,B616,NEUDRO3,137,32.4,,
FRA1,B616,NEUDRO3,128.6,15.5,,
PLPL,B616,NEUDRO3,3,1,,
RSKR,B616,NEUDRO3,157,28.48,,
SIS1,B616,NEUDRO3,157,26.15,,
TRTU,B616,NEUDRO3,160,26.33,,
TRTZ,B616,NEUDRO3,160,22.4,,
ZASA,B616,NEUDRO3,116,8,,
DEW1,BEEX,NEUDRO3,4.7,2.56,,
LUEX,BEEX,NEUDRO3,4.2,1.5,,
